driverId,week,hours-logged,miles-logged
33,41,52,400
63,32,64,3600
37,50,78,3400
10,50,52,2600
16,16,80,1300
47,28,50,4000
36,26,75,1200
93,33,76,500
12,8,57,600
101,29,53,1600
49,39,53,0
29,27,53,2900
15,5,50,2400
78,42,63,1300
42,16,59,100
53,43,64,3500
95,5,62,2900
13,4,71,200
105,36,63,2900
33,21,60,2100
20,19,76,1600
25,8,79,3300
64,40,74,600
64,6,59,2600
69,41,56,3400
71,37,52,3000
103,37,73,800
22,51,80,1100
92,22,76,2200
57,48,71,3300
81,32,56,2400
77,39,55,0
60,6,80,1500
16,36,55,100
28,7,56,3300
93,30,61,500
80,22,69,1700
72,18,56,2400
48,9,75,2700
53,50,55,700
102,13,65,0
91,20,62,1400
32,51,52,2100
36,23,51,600
94,41,76,3400
25,8,75,3200
33,12,54,3400
18,50,80,300
108,41,59,800
71,32,50,1200
100,11,50,500
72,34,58,3800
76,6,73,100
42,10,58,700
27,4,74,2400
84,49,72,2600
86,33,73,3600
61,7,66,3900
17,43,54,2100
62,28,62,2700
60,16,70,3200
89,3,77,2500
21,33,75,3900
15,1,62,2100
90,22,76,3800
89,33,50,800
82,30,62,1200
89,27,71,2300
83,37,77,2300
43,17,71,3400
97,17,73,1800
83,8,68,3300
53,7,65,2100
37,4,67,2400
93,31,74,1200
92,9,79,3800
79,11,78,700
81,6,62,3700
73,37,65,1100
29,33,68,1800
42,21,68,1900
79,50,79,1300
23,43,59,1200
85,31,60,0
96,16,76,200
25,4,77,800
59,28,54,2100
26,13,50,100
15,33,66,800
10,50,55,3900
98,23,64,2000
92,44,62,600
83,35,72,1800
101,43,67,200
13,25,66,3700
69,29,58,1300
65,19,74,2100
74,26,66,1700
63,44,73,1200
20,39,57,2500
109,11,52,3300
107,13,77,3300
34,13,77,500
65,45,60,100
64,28,71,2600
28,39,65,3800
98,25,54,3900
90,24,55,2500
69,11,59,900
80,52,65,2400
21,5,65,3100
45,10,52,400
96,8,73,200
33,26,50,2000
91,5,76,1500
61,14,55,3200
36,7,79,2200
79,39,50,0
76,44,77,3100
37,34,50,2000
101,42,67,1100
85,51,73,3600
47,22,71,2000
37,25,76,1000
68,33,74,800
32,23,59,4000
99,21,54,3700
56,14,72,2000
108,46,69,400
55,15,60,1500
46,51,71,1800
82,14,62,2000
75,37,54,2500
54,14,58,2500
89,9,80,800
97,37,56,2400
102,8,76,600
100,22,76,3600
33,33,63,0
23,2,53,1500
50,6,71,1700
100,43,66,3000
95,7,52,900
26,18,50,3600
93,48,76,1500
101,8,73,200
90,42,58,3000
97,50,51,2200
79,18,54,2100
68,21,59,3300
70,50,50,3400
43,33,59,2200
58,32,57,1500
11,25,71,2100
16,5,57,3300
73,24,70,400
41,32,80,1900
99,30,55,1900
44,14,57,2300
79,36,53,1300
37,25,64,2600
94,18,56,2000
67,38,76,100
25,38,74,2900
45,9,69,800
77,22,60,700
51,27,61,0
65,23,66,1300
55,45,66,2700
66,20,68,100
96,4,54,3700
74,42,79,3200
47,22,78,2900
24,14,71,500
81,50,71,2500
34,48,58,2200
78,47,55,3700
53,45,74,0
53,2,68,500
42,15,73,3400
97,6,56,2000
38,1,50,2800
65,15,50,3600
11,35,67,2000
65,23,66,3600
56,10,52,600
50,17,80,1500
95,31,80,1100
73,29,67,1200
96,1,72,2400
70,40,78,3100
65,34,74,3500
40,43,70,4000
80,32,71,2600
97,47,59,2800
74,15,78,1700
79,20,76,2300
16,44,79,900
57,41,51,3700
